DATE_HR,DM_kW
12/10/2014 0:00,94.02
12/10/2014 1:00,90.48
12/10/2014 2:00,88.68
12/10/2014 3:00,89.12
12/10/2014 4:00,89.98
12/10/2014 5:00,97.83
12/10/2014 6:00,111.62
12/10/2014 7:00,120.1
12/10/2014 8:00,120.64
12/10/2014 9:00,119.17
12/10/2014 10:00,118.8
12/10/2014 11:00,118.57
12/10/2014 12:00,119.3
12/10/2014 13:00,119.27
12/10/2014 14:00,121.3
12/10/2014 15:00,125.41
12/10/2014 16:00,135.59
12/10/2014 17:00,147.18
12/10/2014 18:00,150.52
12/10/2014 19:00,148.18
12/10/2014 20:00,143.77
12/10/2014 21:00,135.16
12/10/2014 22:00,119.27
12/10/2014 23:00,106.28
12/11/2014 0:00,96.43
12/11/2014 1:00,92.96
12/11/2014 2:00,92.42
12/11/2014 3:00,92.25
12/11/2014 4:00,94.19
12/11/2014 5:00,102
12/11/2014 6:00,115.09
12/11/2014 7:00,122.2
12/11/2014 8:00,124.27
12/11/2014 9:00,125.04
12/11/2014 10:00,123.81
12/11/2014 11:00,122.67
12/11/2014 12:00,121.4
12/11/2014 13:00,120.97
12/11/2014 14:00,119.93
12/11/2014 15:00,122.2
12/11/2014 16:00,132.89
12/11/2014 17:00,146.18
12/11/2014 18:00,148.88
12/11/2014 19:00,145.81
12/11/2014 20:00,141.54
12/11/2014 21:00,134.49
12/11/2014 22:00,119.93
12/11/2014 23:00,107.91
12/12/2014 0:00,100.37
12/12/2014 1:00,96.16
12/12/2014 2:00,94.93
12/12/2014 3:00,94.29
12/12/2014 4:00,96.53
12/12/2014 5:00,104.81
12/12/2014 6:00,118.43
12/12/2014 7:00,125.34
12/12/2014 8:00,126.11
12/12/2014 9:00,124.58
12/12/2014 10:00,122.37
12/12/2014 11:00,120.43
12/12/2014 12:00,118.6
12/12/2014 13:00,118.93
12/12/2014 14:00,118.63
12/12/2014 15:00,120.87
12/12/2014 16:00,132.25
12/12/2014 17:00,143.67
12/12/2014 18:00,144.38
12/12/2014 19:00,139.73
12/12/2014 20:00,136.43
12/12/2014 21:00,129.65
12/12/2014 22:00,120
12/12/2014 23:00,111.32
12/13/2014 0:00,102.37
12/13/2014 1:00,97.7
12/13/2014 2:00,95.23
12/13/2014 3:00,95.23
12/13/2014 4:00,95.49
12/13/2014 5:00,97.83
12/13/2014 6:00,104.11
12/13/2014 7:00,111.12
12/13/2014 8:00,117.53
12/13/2014 9:00,119.1
12/13/2014 10:00,118.67
12/13/2014 11:00,116.46
12/13/2014 12:00,113.09
12/13/2014 13:00,110.48
12/13/2014 14:00,110.72
12/13/2014 15:00,114.16
12/13/2014 16:00,124.74
12/13/2014 17:00,135.23
12/13/2014 18:00,135.66
12/13/2014 19:00,132.92
12/13/2014 20:00,129.82
12/13/2014 21:00,125.24
12/13/2014 22:00,116.8
12/13/2014 23:00,108.92
12/14/2014 0:00,102.07
12/14/2014 1:00,97.56
12/14/2014 2:00,93.72
12/14/2014 3:00,92.09
12/14/2014 4:00,92.39
12/14/2014 5:00,94.32
12/14/2014 6:00,98.9
12/14/2014 7:00,103.84
12/14/2014 8:00,110.38
12/14/2014 9:00,116.5
12/14/2014 10:00,119.4
12/14/2014 11:00,119.83
12/14/2014 12:00,119.73
12/14/2014 13:00,118.8
12/14/2014 14:00,117.4
12/14/2014 15:00,118.8
12/14/2014 16:00,128.18
12/14/2014 17:00,141.97
12/14/2014 18:00,144.54
12/14/2014 19:00,143.91
12/14/2014 20:00,140.33
12/14/2014 21:00,130.99
12/14/2014 22:00,118.03
12/14/2014 23:00,104.37
12/15/2014 0:00,95.83
12/15/2014 1:00,91.12
12/15/2014 2:00,91.12
12/15/2014 3:00,91.69
12/15/2014 4:00,94.02
12/15/2014 5:00,102.81
12/15/2014 6:00,118.46
12/15/2014 7:00,125.51
12/15/2014 8:00,123.87
12/15/2014 9:00,121.27
12/15/2014 10:00,119.3
12/15/2014 11:00,115.96
12/15/2014 12:00,112.96
12/15/2014 13:00,112.02
12/15/2014 14:00,111.25
12/15/2014 15:00,113.26
12/15/2014 16:00,123.54
12/15/2014 17:00,141.74
12/15/2014 18:00,146.01
12/15/2014 19:00,145.38
12/15/2014 20:00,142
12/15/2014 21:00,135.09
12/15/2014 22:00,122.07
12/15/2014 23:00,107.68
12/16/2014 0:00,98.2
12/16/2014 1:00,96.09
12/16/2014 2:00,95.13
12/16/2014 3:00,94.42
12/16/2014 4:00,96.49
12/16/2014 5:00,105.04
12/16/2014 6:00,119.33
12/16/2014 7:00,127.08
12/16/2014 8:00,126.65
12/16/2014 9:00,124.88
12/16/2014 10:00,123.61
12/16/2014 11:00,123.24
12/16/2014 12:00,121.94
12/16/2014 13:00,120.1
12/16/2014 14:00,119.57
12/16/2014 15:00,120.97
12/16/2014 16:00,130.28
12/16/2014 17:00,143.24
12/16/2014 18:00,146.41
12/16/2014 19:00,144.71
12/16/2014 20:00,139.57
12/16/2014 21:00,130.59
12/16/2014 22:00,115.53
12/16/2014 23:00,101.64
12/17/2014 0:00,88.08
12/17/2014 1:00,85.11
12/17/2014 2:00,84.04
12/17/2014 3:00,83.64
12/17/2014 4:00,85.91
12/17/2014 5:00,93.96
12/17/2014 6:00,109.22
12/17/2014 7:00,116.39
12/17/2014 8:00,115.06
12/17/2014 9:00,114.06
12/17/2014 10:00,112.35
12/17/2014 11:00,111.59
12/17/2014 12:00,111.79
12/17/2014 13:00,112.59
12/17/2014 14:00,113.76
12/17/2014 15:00,117.76
12/17/2014 16:00,129.32
12/17/2014 17:00,140.37
12/17/2014 18:00,141.17
12/17/2014 19:00,139.77
12/17/2014 20:00,135.23
12/17/2014 21:00,127.81
12/17/2014 22:00,115.83
12/17/2014 23:00,102.67
12/18/2014 0:00,91.99
12/18/2014 1:00,87.48
12/18/2014 2:00,85.91
12/18/2014 3:00,85.14
12/18/2014 4:00,88.65
12/18/2014 5:00,97.8
12/18/2014 6:00,114.56
12/18/2014 7:00,121.9
12/18/2014 8:00,120.6
12/18/2014 9:00,119.83
12/18/2014 10:00,120.2
12/18/2014 11:00,117.66
12/18/2014 12:00,115.53
12/18/2014 13:00,114.42
12/18/2014 14:00,113.86
12/18/2014 15:00,118.77
12/18/2014 16:00,131.15
12/18/2014 17:00,144.14
12/18/2014 18:00,145.51
12/18/2014 19:00,143.24
12/18/2014 20:00,140.17
12/18/2014 21:00,132.02
12/18/2014 22:00,120.4
12/18/2014 23:00,106.14
12/19/2014 0:00,98.2
12/19/2014 1:00,92.72
12/19/2014 2:00,90.45
12/19/2014 3:00,89.25
12/19/2014 4:00,91.72
12/19/2014 5:00,100.74
12/19/2014 6:00,114.83
12/19/2014 7:00,122.91
12/19/2014 8:00,125.41
12/19/2014 9:00,124.84
12/19/2014 10:00,123.57
12/19/2014 11:00,121.77
12/19/2014 12:00,119.07
12/19/2014 13:00,117.1
12/19/2014 14:00,117.9
12/19/2014 15:00,121.84
12/19/2014 16:00,132.59
12/19/2014 17:00,145.94
12/19/2014 18:00,147.88
12/19/2014 19:00,145.78
12/19/2014 20:00,141.44
12/19/2014 21:00,135.69
12/19/2014 22:00,127.31
12/19/2014 23:00,117
12/20/2014 0:00,103.07
12/20/2014 1:00,98.8
12/20/2014 2:00,93.62
12/20/2014 3:00,96.6
12/20/2014 4:00,96.6
12/20/2014 5:00,99.83
12/20/2014 6:00,106.04
12/20/2014 7:00,113.76
12/20/2014 8:00,121.87
12/20/2014 9:00,126.48
12/20/2014 10:00,129.58
12/20/2014 11:00,130.45
12/20/2014 12:00,130.02
12/20/2014 13:00,129.95
12/20/2014 14:00,130.75
12/20/2014 15:00,132.96
12/20/2014 16:00,141.37
12/20/2014 17:00,149.82
12/20/2014 18:00,148.68
12/20/2014 19:00,145.14
12/20/2014 20:00,140.9
12/20/2014 21:00,134.96
12/20/2014 22:00,126.65
12/20/2014 23:00,115.59
12/21/2014 0:00,106.68
12/21/2014 1:00,101.57
12/21/2014 2:00,98.53
12/21/2014 3:00,95.89
12/21/2014 4:00,96.8
12/21/2014 5:00,97.13
12/21/2014 6:00,101.47
12/21/2014 7:00,107.88
12/21/2014 8:00,115.89
12/21/2014 9:00,123.74
12/21/2014 10:00,127.68
12/21/2014 11:00,127.95
12/21/2014 12:00,127.48
12/21/2014 13:00,125.08
12/21/2014 14:00,125.04
12/21/2014 15:00,127.05
12/21/2014 16:00,136.09
12/21/2014 17:00,147.38
12/21/2014 18:00,148.05
12/21/2014 19:00,146.18
12/21/2014 20:00,143.31
12/21/2014 21:00,134.93
12/21/2014 22:00,120.07
12/21/2014 23:00,106.41
12/22/2014 0:00,95.73
12/22/2014 1:00,87.88
12/22/2014 2:00,85.84
12/22/2014 3:00,86.08
12/22/2014 4:00,87.61
12/22/2014 5:00,95.86
12/22/2014 6:00,109.15
12/22/2014 7:00,116.09
12/22/2014 8:00,119.43
12/22/2014 9:00,120.67
12/22/2014 10:00,120.84
12/22/2014 11:00,120.8
12/22/2014 12:00,118.63
12/22/2014 13:00,117.13
12/22/2014 14:00,116.03
12/22/2014 15:00,119.7
12/22/2014 16:00,129.48
12/22/2014 17:00,139.9
12/22/2014 18:00,140.54
12/22/2014 19:00,137.93
12/22/2014 20:00,133.59
12/22/2014 21:00,126.58
12/22/2014 22:00,113.36
12/22/2014 23:00,100.77
12/23/2014 0:00,91.65
12/23/2014 1:00,85.84
12/23/2014 2:00,81.4
12/23/2014 3:00,78.77
12/23/2014 4:00,82.5
12/23/2014 5:00,90.12
12/23/2014 6:00,102.64
12/23/2014 7:00,110.32
12/23/2014 8:00,114.69
12/23/2014 9:00,118.43
12/23/2014 10:00,120.9
12/23/2014 11:00,120.9
12/23/2014 12:00,119.8
12/23/2014 13:00,119.67
12/23/2014 14:00,119.4
12/23/2014 15:00,120.6
12/23/2014 16:00,128.55
12/23/2014 17:00,137.66
12/23/2014 18:00,139.9
12/23/2014 19:00,137.03
12/23/2014 20:00,133.09
12/23/2014 21:00,126.55
12/23/2014 22:00,114.99
12/23/2014 23:00,102.1
12/24/2014 0:00,89.55
12/24/2014 1:00,83.27
12/24/2014 2:00,81.77
12/24/2014 3:00,79.43
12/24/2014 4:00,79.9
12/24/2014 5:00,84.11
12/24/2014 6:00,93.76
12/24/2014 7:00,101.57
12/24/2014 8:00,109.62
12/24/2014 9:00,118.2
12/24/2014 10:00,121.6
12/24/2014 11:00,124.11
12/24/2014 12:00,123.94
12/24/2014 13:00,123.47
12/24/2014 14:00,124.48
12/24/2014 15:00,124.37
12/24/2014 16:00,128.08
12/24/2014 17:00,133.02
12/24/2014 18:00,129.38
12/24/2014 19:00,121.4
12/24/2014 20:00,114.83
12/24/2014 21:00,110.65
12/24/2014 22:00,104.44
12/24/2014 23:00,97.03
12/25/2014 0:00,85.21
12/25/2014 1:00,77.63
12/25/2014 2:00,71.79
12/25/2014 3:00,70.25
12/25/2014 4:00,70.42
12/25/2014 5:00,71.72
12/25/2014 6:00,75.83
12/25/2014 7:00,81.44
12/25/2014 8:00,90.08
12/25/2014 9:00,98.7
12/25/2014 10:00,101.8
12/25/2014 11:00,102.24
12/25/2014 12:00,104.14
12/25/2014 13:00,105.78
12/25/2014 14:00,103.34
12/25/2014 15:00,101.84
12/25/2014 16:00,106.85
12/25/2014 17:00,115.16
12/25/2014 18:00,115.36
12/25/2014 19:00,115.53
12/25/2014 20:00,114.19
12/25/2014 21:00,111.45
12/25/2014 22:00,105.51
12/25/2014 23:00,95.19
12/26/2014 0:00,87.48
12/26/2014 1:00,83.27
12/26/2014 2:00,79.87
12/26/2014 3:00,78.83
12/26/2014 4:00,80.84
12/26/2014 5:00,85.44
12/26/2014 6:00,93.06
12/26/2014 7:00,98.03
12/26/2014 8:00,104.54
12/26/2014 9:00,108.62
12/26/2014 10:00,110.02
12/26/2014 11:00,109.32
12/26/2014 12:00,108.01
12/26/2014 13:00,105.01
12/26/2014 14:00,102.97
12/26/2014 15:00,104.21
12/26/2014 16:00,112.66
12/26/2014 17:00,127.25
12/26/2014 18:00,129.65
12/26/2014 19:00,128.28
12/26/2014 20:00,126.24
12/26/2014 21:00,120.77
12/26/2014 22:00,111.19
12/26/2014 23:00,102.34
12/27/2014 0:00,90.18
12/27/2014 1:00,87.41
12/27/2014 2:00,86.18
12/27/2014 3:00,83.61
12/27/2014 4:00,83.67
12/27/2014 5:00,86.81
12/27/2014 6:00,92.66
12/27/2014 7:00,97.86
12/27/2014 8:00,103.84
12/27/2014 9:00,106.91
12/27/2014 10:00,107.38
12/27/2014 11:00,105.48
12/27/2014 12:00,102.87
12/27/2014 13:00,99.53
12/27/2014 14:00,97.66
12/27/2014 15:00,97.93
12/27/2014 16:00,106.75
12/27/2014 17:00,122.51
12/27/2014 18:00,123.41
12/27/2014 19:00,122.07
12/27/2014 20:00,119.2
12/27/2014 21:00,114.36
12/27/2014 22:00,107.91
12/27/2014 23:00,96.96
12/28/2014 0:00,87.98
12/28/2014 1:00,80.74
12/28/2014 2:00,78.46
12/28/2014 3:00,76.06
12/28/2014 4:00,72.42
12/28/2014 5:00,73.86
12/28/2014 6:00,81.24
12/28/2014 7:00,86.65
12/28/2014 8:00,93.06
12/28/2014 9:00,98.83
12/28/2014 10:00,103.44
12/28/2014 11:00,104.07
12/28/2014 12:00,105.58
12/28/2014 13:00,104.88
12/28/2014 14:00,103.94
12/28/2014 15:00,105.61
12/28/2014 16:00,116.56
12/28/2014 17:00,126.98
12/28/2014 18:00,129.12
12/28/2014 19:00,127.35
12/28/2014 20:00,121.4
12/28/2014 21:00,116.26
12/28/2014 22:00,105.58
12/28/2014 23:00,94.93
12/29/2014 0:00,87.81
12/29/2014 1:00,83.37
12/29/2014 2:00,82
12/29/2014 3:00,82.17
12/29/2014 4:00,83.44
12/29/2014 5:00,91.99
12/29/2014 6:00,101.94
12/29/2014 7:00,110.75
12/29/2014 8:00,117.3
12/29/2014 9:00,118.46
12/29/2014 10:00,116.7
12/29/2014 11:00,116.23
12/29/2014 12:00,113.86
12/29/2014 13:00,112.66
12/29/2014 14:00,113.09
12/29/2014 15:00,114.26
12/29/2014 16:00,124.81
12/29/2014 17:00,138.13
12/29/2014 18:00,141.77
12/29/2014 19:00,139.27
12/29/2014 20:00,134.79
12/29/2014 21:00,129.75
12/29/2014 22:00,119.2
12/29/2014 23:00,107.91
12/30/2014 0:00,99.73
12/30/2014 1:00,94.69
12/30/2014 2:00,93.86
12/30/2014 3:00,94.09
12/30/2014 4:00,97.5
12/30/2014 5:00,103.41
12/30/2014 6:00,113.69
12/30/2014 7:00,122.47
12/30/2014 8:00,126.98
12/30/2014 9:00,130.72
12/30/2014 10:00,133.46
12/30/2014 11:00,130.92
12/30/2014 12:00,130.79
12/30/2014 13:00,129.35
12/30/2014 14:00,128.05
12/30/2014 15:00,129.15
12/30/2014 16:00,137.2
12/30/2014 17:00,151.35
12/30/2014 18:00,154.49
12/30/2014 19:00,152.82
12/30/2014 20:00,150.82
12/30/2014 21:00,144.51
12/30/2014 22:00,133.26
12/30/2014 23:00,121.5
12/31/2014 0:00,110.25
12/31/2014 1:00,105.44
12/31/2014 2:00,100.4
12/31/2014 3:00,97.13
12/31/2014 4:00,98.3
12/31/2014 5:00,102.37
12/31/2014 6:00,110.52
12/31/2014 7:00,116.73
12/31/2014 8:00,121.1
12/31/2014 9:00,122.94
12/31/2014 10:00,125.18
12/31/2014 11:00,126.41
12/31/2014 12:00,125.38
12/31/2014 13:00,124.27
12/31/2014 14:00,125.08
12/31/2014 15:00,127.91
12/31/2014 16:00,134.83
12/31/2014 17:00,149.88
12/31/2014 18:00,149.88
12/31/2014 19:00,143.77
12/31/2014 20:00,136.36
12/31/2014 21:00,130.62
12/31/2014 22:00,124.61
12/31/2014 23:00,119.77
1/1/2015 0:00,112.35
1/1/2015 1:00,106.08
1/1/2015 2:00,102.5
1/1/2015 3:00,100.37
1/1/2015 4:00,99.63
1/1/2015 5:00,101.54
1/1/2015 6:00,103.97
