DATE_HR,DM_kW
6/10/2014 0:00,115.57
6/10/2014 1:00,109.31
6/10/2014 2:00,107.61
6/10/2014 3:00,106.02
6/10/2014 4:00,107.56
6/10/2014 5:00,116.19
6/10/2014 6:00,134.77
6/10/2014 7:00,149.56
6/10/2014 8:00,157.46
6/10/2014 9:00,161.78
6/10/2014 10:00,168.14
6/10/2014 11:00,171.94
6/10/2014 12:00,172.51
6/10/2014 13:00,173.69
6/10/2014 14:00,175.64
6/10/2014 15:00,178.87
6/10/2014 16:00,185.03
6/10/2014 17:00,191.35
6/10/2014 18:00,193.45
6/10/2014 19:00,190.58
6/10/2014 20:00,191.96
6/10/2014 21:00,190.27
6/10/2014 22:00,169.02
6/10/2014 23:00,146.12
6/11/2014 0:00,131.23
6/11/2014 1:00,124.04
6/11/2014 2:00,119.06
6/11/2014 3:00,114.85
6/11/2014 4:00,114.49
6/11/2014 5:00,121.63
6/11/2014 6:00,137.18
6/11/2014 7:00,150.48
6/11/2014 8:00,155.87
6/11/2014 9:00,157
6/11/2014 10:00,156.54
6/11/2014 11:00,155.97
6/11/2014 12:00,160.75
6/11/2014 13:00,162.08
6/11/2014 14:00,161.57
6/11/2014 15:00,162.19
6/11/2014 16:00,164.55
6/11/2014 17:00,166.24
6/11/2014 18:00,166.96
6/11/2014 19:00,163.57
6/11/2014 20:00,166.76
6/11/2014 21:00,163.11
6/11/2014 22:00,146.01
6/11/2014 23:00,126.3
6/12/2014 0:00,114.13
6/12/2014 1:00,110.38
6/12/2014 2:00,107
6/12/2014 3:00,105.56
6/12/2014 4:00,106.23
6/12/2014 5:00,113.57
6/12/2014 6:00,130.71
6/12/2014 7:00,146.73
6/12/2014 8:00,154.69
6/12/2014 9:00,157.57
6/12/2014 10:00,160.85
6/12/2014 11:00,162.5
6/12/2014 12:00,161.93
6/12/2014 13:00,161.67
6/12/2014 14:00,162.5
6/12/2014 15:00,164.45
6/12/2014 16:00,168.3
6/12/2014 17:00,170.92
6/12/2014 18:00,174.05
6/12/2014 19:00,172.87
6/12/2014 20:00,174.51
6/12/2014 21:00,170.71
6/12/2014 22:00,154.28
6/12/2014 23:00,133.8
6/13/2014 0:00,120.34
6/13/2014 1:00,115.06
6/13/2014 2:00,111.82
6/13/2014 3:00,110.33
6/13/2014 4:00,111.05
6/13/2014 5:00,118.03
6/13/2014 6:00,134.15
6/13/2014 7:00,151.87
6/13/2014 8:00,161.98
6/13/2014 9:00,167.73
6/13/2014 10:00,171.58
6/13/2014 11:00,172.87
6/13/2014 12:00,173.12
6/13/2014 13:00,175.54
6/13/2014 14:00,178.87
6/13/2014 15:00,184.42
6/13/2014 16:00,189.45
6/13/2014 17:00,192.94
6/13/2014 18:00,195.97
6/13/2014 19:00,189.86
6/13/2014 20:00,184.52
6/13/2014 21:00,178.31
6/13/2014 22:00,163.06
6/13/2014 23:00,143.14
6/14/2014 0:00,126.76
6/14/2014 1:00,121.27
6/14/2014 2:00,117.52
6/14/2014 3:00,114.54
6/14/2014 4:00,113.05
6/14/2014 5:00,113.36
6/14/2014 6:00,118.29
6/14/2014 7:00,132.05
6/14/2014 8:00,148.89
6/14/2014 9:00,161.16
6/14/2014 10:00,166.14
6/14/2014 11:00,167.06
6/14/2014 12:00,169.07
6/14/2014 13:00,169.89
6/14/2014 14:00,169.94
6/14/2014 15:00,169.17
6/14/2014 16:00,167.68
6/14/2014 17:00,167.22
6/14/2014 18:00,162.8
6/14/2014 19:00,154.54
6/14/2014 20:00,152.79
6/14/2014 21:00,152.53
6/14/2014 22:00,143.4
6/14/2014 23:00,128.4
6/15/2014 0:00,115.06
6/15/2014 1:00,108.02
6/15/2014 2:00,103.76
6/15/2014 3:00,100.17
6/15/2014 4:00,100.42
6/15/2014 5:00,97.09
6/15/2014 6:00,100.42
6/15/2014 7:00,111.36
6/15/2014 8:00,124.5
6/15/2014 9:00,136.77
6/15/2014 10:00,145.09
6/15/2014 11:00,149.56
6/15/2014 12:00,151.41
6/15/2014 13:00,151.56
6/15/2014 14:00,154.08
6/15/2014 15:00,156.18
6/15/2014 16:00,159.93
6/15/2014 17:00,165.63
6/15/2014 18:00,166.5
6/15/2014 19:00,165.68
6/15/2014 20:00,170.09
6/15/2014 21:00,168.4
6/15/2014 22:00,150.89
6/15/2014 23:00,130.71
6/16/2014 0:00,114.65
6/16/2014 1:00,107.66
6/16/2014 2:00,103.35
6/16/2014 3:00,100.47
6/16/2014 4:00,101.71
6/16/2014 5:00,108.74
6/16/2014 6:00,125.89
6/16/2014 7:00,140.93
6/16/2014 8:00,152.12
6/16/2014 9:00,161.01
6/16/2014 10:00,168.4
6/16/2014 11:00,174.46
6/16/2014 12:00,179.95
6/16/2014 13:00,180.31
6/16/2014 14:00,193.51
6/16/2014 15:00,203.26
6/16/2014 16:00,210.6
6/16/2014 17:00,213.78
6/16/2014 18:00,211.17
6/16/2014 19:00,203.26
6/16/2014 20:00,198.95
6/16/2014 21:00,190.84
6/16/2014 22:00,167.37
6/16/2014 23:00,145.96
6/17/2014 0:00,129.12
6/17/2014 1:00,120.5
6/17/2014 2:00,115.21
6/17/2014 3:00,112.69
6/17/2014 4:00,113.93
6/17/2014 5:00,119.47
6/17/2014 6:00,136.05
6/17/2014 7:00,152.89
6/17/2014 8:00,165.37
6/17/2014 9:00,175.33
6/17/2014 10:00,187.96
6/17/2014 11:00,202.44
6/17/2014 12:00,216.4
6/17/2014 13:00,223.49
6/17/2014 14:00,233.24
6/17/2014 15:00,244.54
6/17/2014 16:00,255.73
6/17/2014 17:00,262.66
6/17/2014 18:00,261.79
6/17/2014 19:00,252.86
6/17/2014 20:00,245.82
6/17/2014 21:00,238.38
6/17/2014 22:00,211.37
6/17/2014 23:00,183.96
6/18/2014 0:00,165.78
6/18/2014 1:00,154.02
6/18/2014 2:00,145.35
6/18/2014 3:00,140.32
6/18/2014 4:00,140.47
6/18/2014 5:00,147.2
6/18/2014 6:00,165.99
6/18/2014 7:00,189.55
6/18/2014 8:00,205.16
6/18/2014 9:00,212.71
6/18/2014 10:00,223.33
6/18/2014 11:00,231.45
6/18/2014 12:00,239.71
6/18/2014 13:00,247.52
6/18/2014 14:00,253.16
6/18/2014 15:00,261.17
6/18/2014 16:00,264.2
6/18/2014 17:00,266.1
6/18/2014 18:00,261.07
6/18/2014 19:00,251.67
6/18/2014 20:00,245.05
6/18/2014 21:00,235.19
6/18/2014 22:00,206.85
6/18/2014 23:00,179.39
6/19/2014 0:00,155.36
6/19/2014 1:00,140.62
6/19/2014 2:00,127.79
6/19/2014 3:00,126.61
6/19/2014 4:00,126.81
6/19/2014 5:00,131.84
6/19/2014 6:00,149.66
6/19/2014 7:00,166.45
6/19/2014 8:00,173.38
6/19/2014 9:00,177.18
6/19/2014 10:00,181.95
6/19/2014 11:00,187.86
6/19/2014 12:00,194.02
6/19/2014 13:00,197.97
6/19/2014 14:00,201.46
6/19/2014 15:00,204.18
6/19/2014 16:00,213.73
6/19/2014 17:00,219.74
6/19/2014 18:00,221.38
6/19/2014 19:00,216.4
6/19/2014 20:00,211.68
6/19/2014 21:00,207.32
